Range          1           2           4           8
50000002       0.970847    0.495657    0.411243    0.210619
100000002      1.939368    0.977234    0.523304    0.437188
150000002      2.942364    1.462983    0.786021    0.672158
200000002      3.883408    1.961643    1.619452    0.856450
250000002      4.875607    2.462674    2.062119    1.071106
300000002      5.845642    2.943299    2.449462    1.272427
350000002      6.793105    3.408855    1.885915    1.479432
400000002      7.799439    3.894983    3.250274    1.701861
450000002      8.789630    4.396689    3.750525    1.938399
500000002      9.769311    4.907231    4.182252    2.145512
550000002      10.733678   5.402026    4.478149    2.438747
600000002      11.763984   5.886591    3.230199    2.632356
650000002      12.671967   6.376101    5.377760    2.750359
700000002      13.652103   6.831915    5.658117    3.045735
750000002      14.558957   7.746015    4.055931    3.378665
800000002      15.539899   7.804624    4.157143    3.374317
850000002      16.599512   8.286137    7.101289    3.601169
900000002      17.491578   8.775009    7.328731    3.811303
950000002      18.524675   9.279607    7.790080    4.041714
1000000000     19.531189   9.900160    5.248419    4.292656

