Range       1           2           4           8
7         0.000008    0.000013    0.000059    0.000243
12        0.000013    0.000014    0.000157    0.000085
17        0.000006    0.000014    0.000065    0.000215
22        0.000008    0.000055    0.000104    0.000065
27        0.000009    0.000047    0.000020    0.000128
32        0.000010    0.000050    0.000075    0.000084
37        0.000007    0.000016    0.000021    0.000173
42        0.000008    0.000014    0.000070    0.000190
47        0.000008    0.000015    0.000074    0.000060
52        0.000008    0.000050    0.000022    0.000207
57        0.000008    0.000049    0.000028    0.000062
62        0.000024    0.000030    0.000021    0.000216
67        0.000009    0.000015    0.000022    0.000021
72        0.000009    0.000016    0.000079    0.000169
77        0.000008    0.000015    0.000060    0.000055
82        0.000009    0.000055    0.000073    0.000134
87        0.000009    0.000053    0.000020    0.000208
92        0.000017    0.000054    0.000023    0.000040
97        0.000019    0.000014    0.000032    0.000232
100       0.000010    0.000055    0.000068    0.000124

